#{"t_start": 1734908711.784777, "env_id": "ContinuousCartPole-v0"}
r,l,t
500.0,500,17.336324
497.0,497,17.42569
454.0,454,17.513019
500.0,500,18.163993
278.0,278,18.209948
500.0,500,18.607854
500.0,500,18.691777
500.0,500,19.332545
500.0,500,19.413051
500.0,500,19.493079
500.0,500,19.579378
500.0,500,20.087614
500.0,500,20.168632
500.0,500,20.249226
500.0,500,20.331947
500.0,500,20.9713
500.0,500,21.053361
500.0,500,21.167851
500.0,500,21.256533
500.0,500,21.774645
500.0,500,21.861161
500.0,500,21.940694
500.0,500,22.020149
500.0,500,22.099802
500.0,500,22.740418
500.0,500,23.132512
500.0,500,23.212257
500.0,500,23.292458
500.0,500,23.851744
500.0,500,23.935358
321.0,321,23.987884
500.0,500,24.068464
500.0,500,24.717502
500.0,500,24.799415
329.0,329,24.854396
500.0,500,24.935281
500.0,500,25.014603
500.0,500,25.535739
168.0,168,25.563018
186.0,186,25.593192
500.0,500,25.67373
500.0,500,25.754203
352.0,352,26.304766
311.0,311,26.355891
500.0,500,26.436868
348.0,348,26.493377
500.0,500,26.575274
500.0,500,27.128366
143.0,143,27.151634
443.0,443,27.545387
434.0,434,27.616042
458.0,458,27.690476
500.0,500,28.22715
175.0,175,28.254827
500.0,500,28.336113
500.0,500,28.416398
500.0,500,28.497136
344.0,344,28.990916
500.0,500,29.098135
500.0,500,29.202261
500.0,500,29.302606
500.0,500,29.891315
500.0,500,29.99694
500.0,500,30.098479
500.0,500,30.198347
500.0,500,30.79732
500.0,500,30.901777
500.0,500,31.002618
500.0,500,31.100721
500.0,500,31.198778
500.0,500,32.16167
500.0,500,32.261188
500.0,500,32.359354
500.0,500,32.455565
500.0,500,33.038746
500.0,500,33.140637
500.0,500,33.245896
500.0,500,33.347957
500.0,500,33.944872
500.0,500,34.047165
500.0,500,34.14723
500.0,500,34.248151
500.0,500,34.836249
500.0,500,34.939234
500.0,500,35.03911
500.0,500,35.136459
500.0,500,35.688913
500.0,500,35.792069
500.0,500,35.892713
500.0,500,35.990451
500.0,500,36.936001
500.0,500,37.035341
500.0,500,37.133637
500.0,500,37.230066
500.0,500,37.777032
500.0,500,37.880835
500.0,500,37.981581
500.0,500,38.080446
500.0,500,38.633687
500.0,500,38.737654
500.0,500,38.837236
500.0,500,38.935285
500.0,500,39.516593
500.0,500,39.618914
500.0,500,39.717754
500.0,500,39.815577
500.0,500,40.371482
500.0,500,40.475815
500.0,500,40.576661
500.0,500,40.676244
500.0,500,41.607128
500.0,500,41.709731
500.0,500,41.808957
500.0,500,41.906468
500.0,500,42.001946
500.0,500,42.581128
500.0,500,42.678967
500.0,500,42.775414
500.0,500,42.870453
339.0,339,43.409613
500.0,500,43.511435
500.0,500,43.61056
500.0,500,43.707257
500.0,500,44.284834
500.0,500,44.394652
500.0,500,44.492973
277.0,277,44.546901
500.0,500,44.643721
248.0,248,45.149402
500.0,500,45.259896
321.0,321,45.324724
500.0,500,45.424043
500.0,500,45.904996
